match_no,group,team_a,team_b,venue,utc_datetime,espn_event_id
1,A,Mexico,South Africa,"Estadio Azteca, Mexico City",2026-06-11T19:00:00Z,760415
2,A,South Korea,Czechia,"Estadio Akron, Zapopan",2026-06-12T02:00:00Z,760414
3,B,Canada,Bosnia and Herzegovina,"BMO Field, Toronto",2026-06-12T19:00:00Z,760416
4,D,United States,Paraguay,"SoFi Stadium, Inglewood",2026-06-13T01:00:00Z,760417
8,B,Qatar,Switzerland,"Levi's Stadium, Santa Clara",2026-06-13T19:00:00Z,760420
7,C,Brazil,Morocco,"MetLife Stadium, East Rutherford",2026-06-13T22:00:00Z,760419
5,C,Haiti,Scotland,"Gillette Stadium, Foxborough",2026-06-14T01:00:00Z,760418
6,D,Australia,Turkiye,"BC Place, Vancouver",2026-06-14T04:00:00Z,760421
10,E,Germany,Curacao,"NRG Stadium, Houston",2026-06-14T17:00:00Z,760422
11,F,Netherlands,Japan,"AT&T Stadium, Arlington",2026-06-14T20:00:00Z,760425
9,E,Ivory Coast,Ecuador,"Lincoln Financial Field, Philadelphia",2026-06-14T23:00:00Z,760423
12,F,Sweden,Tunisia,"Estadio BBVA, Guadalupe",2026-06-15T02:00:00Z,760424
14,H,Spain,Cape Verde,"Mercedes-Benz Stadium, Atlanta",2026-06-15T16:00:00Z,760428
16,G,Belgium,Egypt,"Lumen Field, Seattle",2026-06-15T19:00:00Z,760426
13,H,Saudi Arabia,Uruguay,"Hard Rock Stadium, Miami Gardens",2026-06-15T22:00:00Z,760429
15,G,Iran,New Zealand,"SoFi Stadium, Inglewood",2026-06-16T01:00:00Z,760427
17,I,France,Senegal,"MetLife Stadium, East Rutherford",2026-06-16T19:00:00Z,760432
18,I,Iraq,Norway,"Gillette Stadium, Foxborough",2026-06-16T22:00:00Z,760430
19,J,Argentina,Algeria,"Arrowhead Stadium, Kansas City",2026-06-17T01:00:00Z,760433
20,J,Austria,Jordan,"Levi's Stadium, Santa Clara",2026-06-17T04:00:00Z,760431
23,K,Portugal,DR Congo,"NRG Stadium, Houston",2026-06-17T17:00:00Z,760435
